set_id,draw_order,semantic_control_indices,episodic_control_indices,semantic_control_labels,episodic_control_labels,mean_standardized_match_distance
10,semantic_first,72;265;122;289;22;202;81;317;6;339;347;84;104,49;219;98;300;27;238;79;274;145;263;146;309;141;217;30;233;319;268;187,L_8C;R_9-46d;L_STGa;R_Pir;L_MT;R_MT;L_IFSa;R_PH;L_V8;R_VMV2;R_Ig;L_a9-46v;L_PFcm,L_MIP;R_24dd;L_43;R_ProS;L_STV;R_a24pr;L_IFJp;R_LIPd;L_IP0;R_46;L_PFop;R_STSvp;L_DVT;R_23c;L_POS1;R_6d;R_TPOJ2;R_a10p;R_4,0.8767004819968041
11,episodic_first,40;235;152;197;159;190;170;249;71;236;355;4;98,12;202;99;225;167;326;79;300;86;319;146;288;44;185;141;205;229;348;233,L_24dv;R_6v;L_VMV1;R_FFC;L_VMV2;R_PEF;L_p47r;R_8BL;L_10d;R_p24pr;R_STSva;L_V3;L_43,L_V3A;R_MT;L_OP4;R_7PL;L_Ig;R_PFop;L_IFJp;R_ProS;L_9a;R_TPOJ2;L_PFop;R_MI;L_7Am;R_V4;L_DVT;R_SFL;R_MIP;R_FOP5;R_6d,1.0074483460576698
12,semantic_first,52;275;139;337;121;271;96;278;164;339;288;91;78,49;280;169;319;27;342;138;266;105;309;143;250;30;296;144;224;235;239;205,L_3a;R_6a;L_TPOJ2;R_V3CD;L_PeEc;R_13l;L_i6-8;R_43;L_s32;R_VMV2;R_MI;L_13l;L_IFJa,L_MIP;R_OP1;L_p10p;R_TPOJ2;L_STV;R_VVC;L_TPOJ1;R_9a;L_PoI2;R_STSvp;L_IP2;R_9p;L_POS1;R_AIP;L_IP1;R_7Am;R_6v;R_p32pr;R_SFL,0.8722476093753146
13,episodic_first,45;266;35;220;19;202;111;196;154;332;316;90;74,128;347;16;207;100;357;48;274;151;235;55;317;14;295;8;327;253;289;188,L_7PL;R_9a;L_5m;R_24dv;L_LO1;R_MT;L_AAIC;R_IPS1;L_PHA2;R_VMV1;R_PHT;L_11l;L_45,L_STSdp;R_Ig;L_IPS1;R_STV;L_OP1;R_PI;L_VIP;R_LIPd;L_V6A;R_6v;L_6v;R_PH;L_POS2;R_PFt;L_3b;R_PF;R_44;R_Pir;R_3b,0.8777312132496098
14,semantic_first,52;205;125;336;65;202;70;256;154;332;288;168;177,166;284;5;326;113;225;48;355;18;228;55;347;14;346;147;357;233;241;296,L_3a;R_SFL;L_PHA1;R_FST;L_47m;R_MT;L_9p;R_a47r;L_PHA2;R_VMV1;R_MI;L_FOP5;L_PI,L_PoI1;R_PFcm;L_V4;R_PFop;L_FOP3;R_7PL;L_VIP;R_STSva;L_V3B;R_VIP;L_6v;R_Ig;L_POS2;R_PoI1;L_PF;R_PI;R_6d;R_d32;R_AIP,0.8572378374844704
15,episodic_first,59;259;40;359;82;251;110;230;60;333;325;20;3,129;281;100;326;5;250;15;225;151;261;94;355;141;295;30;346;319;258;208,L_p32pr;R_IFJp;L_24dv;R_p24;L_p9-46v;R_10d;L_AVI;R_1;L_a24;R_VMV3;R_IP0;L_LO2;L_V2,L_STSvp;R_OP2-3;L_OP1;R_PFop;L_V4;R_9p;L_V7;R_7PL;L_V6A;R_IFSa;L_LIPd;R_STSva;L_DVT;R_PFt;L_POS1;R_PoI1;R_TPOJ2;R_IFJa;R_7Pm,1.0110497452868203
16,semantic_first,86;221;164;272;21;339;111;256;154;274;331;82;112,146;202;115;185;98;195;139;302;105;217;15;326;129;257;147;229;253;287;188,L_9a;R_7AL;L_s32;R_OFC;L_PIT;R_VMV2;L_AAIC;R_a47r;L_PHA2;R_LIPd;R_V6A;L_p9-46v;L_FOP1,L_PFop;R_MT;L_PFt;R_V4;L_43;R_V7;L_TPOJ2;R_STGa;L_PoI2;R_23c;L_V7;R_PFop;L_STSvp;R_6r;L_PF;R_MIP;R_44;R_FOP4;R_3b,0.9533889715344388
17,episodic_first,141;291;63;268;153;339;71;249;89;236;357;61;24,144;219;78;295;101;273;18;208;80;235;2;274;53;257;41;230;252;241;221,L_DVT;R_AAIC;L_p32;R_a10p;L_VMV3;R_VMV2;L_10d;R_8BL;L_10pp;R_p24pr;R_PI;L_d32;L_PSL,L_IP1;R_24dd;L_IFJa;R_PFt;L_OP2-3;R_47s;L_V3B;R_7Pm;L_IFSp;R_6v;L_V6;R_LIPd;L_6d;R_6r;L_7AL;R_1;R_8C;R_d32;R_7AL,0.9312280072412724
18,semantic_first,77;257;97;200;84;339;69;227;10;198;279;78;141,48;280;47;218;18;245;79;221;2;357;49;195;8;285;30;252;355;241;275,L_6r;R_6r;L_s6-8;R_LO2;L_a9-46v;R_VMV2;L_8BL;R_LIPv;L_PEF;R_V3B;R_OP4;L_IFJa;L_DVT,L_VIP;R_OP1;L_LIPv;R_5L;L_V3B;R_47m;L_IFJp;R_7AL;L_V6;R_PI;L_MIP;R_V7;L_3b;R_PoI2;L_POS1;R_8C;R_STSva;R_d32;R_6a,0.9884745529292177
19,episodic_first,144;256;63;339;164;201;82;239;89;301;204;96;104,108;202;177;185;156;342;157;286;12;228;105;355;74;285;128;327;217;336;346,L_IP1;R_a47r;L_p32;R_VMV2;L_s32;R_PIT;L_p9-46v;R_p32pr;L_10pp;R_PeEc;R_PSL;L_i6-8;L_PFcm,L_MI;R_MT;L_PI;R_V4;L_FST;R_VVC;L_V3CD;R_TA2;L_V3A;R_VIP;L_PoI2;R_STSva;L_45;R_PoI2;L_STSdp;R_PF;R_23c;R_FST;R_PoI1,0.8723837558787232
20,semantic_first,39;266;17;271;81;264;71;220;118;291;357;169;137,144;219;104;326;48;251;49;274;108;228;151;225;4;208;147;226;235;289;288,L_24dd;R_9a;L_FFC;R_13l;L_IFSa;R_a9-46v;L_10d;R_24dv;L_PreS;R_AAIC;R_PI;L_p10p;L_PH,L_IP1;R_24dd;L_PFcm;R_PFop;L_VIP;R_10d;L_MIP;R_LIPd;L_MI;R_VIP;L_V6A;R_7PL;L_V3;R_7Pm;L_PF;R_7PC;R_6v;R_Pir;R_MI,0.8918796462347501
21,episodic_first,141;263;152;271;22;198;71;288;10;238;331;81;25,143;336;98;342;27;286;169;319;108;295;105;325;38;218;43;187;285;192;208,L_DVT;R_46;L_VMV1;R_13l;L_MT;R_V3B;L_10d;R_MI;L_PEF;R_a24pr;R_V6A;L_IFSa;L_SFL,L_IP2;R_FST;L_43;R_VVC;L_STV;R_TA2;L_p10p;R_TPOJ2;L_MI;R_PFt;L_PoI2;R_IP0;L_5L;R_5L;L_6ma;R_4;R_PoI2;R_V3A;R_7Pm,0.9674819994303046
22,semantic_first,5;266;122;273;89;332;57;253;22;338;279;71;4,105;336;129;269;101;207;97;309;79;263;94;288;37;230;77;226;355;292;188,L_V4;R_9a;L_STGa;R_47s;L_10pp;R_VMV1;L_33pr;R_44;L_MT;R_LO3;R_OP4;L_10d;L_V3,L_PoI2;R_FST;L_STSvp;R_10pp;L_OP2-3;R_STV;L_s6-8;R_STSvp;L_IFJp;R_46;L_LIPd;R_MI;L_23c;R_1;L_6r;R_7PC;R_STSva;R_FOP1;R_3b,0.9775184380025475
23,episodic_first,39;266;165;271;19;268;42;189;20;332;326;1;24,12;241;112;317;18;357;109;302;108;291;27;251;141;232;30;234;184;337;256,L_24dd;R_9a;L_pOFC;R_13l;L_LO1;R_a10p;L_SCEF;R_FEF;L_LO2;R_VMV1;R_PFop;L_MST;L_PSL,L_V3A;R_d32;L_FOP1;R_PH;L_V3B;R_PI;L_Pir;R_STGa;L_MI;R_AAIC;L_STV;R_10d;L_DVT;R_3a;L_POS1;R_6mp;R_V3;R_V3CD;R_a47r,0.9156141966748701
24,semantic_first,17;263;89;289;1;186;5;288;6;339;331;116;78,37;192;101;207;146;286;157;332;2;355;48;349;148;285;46;319;184;287;252,L_FFC;R_46;L_10pp;R_Pir;L_MST;R_V8;L_V4;R_MI;L_V8;R_VMV2;R_V6A;L_AIP;L_IFJa,L_23c;R_V3A;L_OP2-3;R_STV;L_PFop;R_TA2;L_V3CD;R_VMV1;L_V6;R_STSva;L_VIP;R_p10p;L_PFm;R_PoI2;L_7PC;R_TPOJ2;R_V3;R_FOP4;R_8C,1.0572892990904532
25,episodic_first,45;295;165;305;76;251;40;196;10;243;288;1;115,36;289;91;225;100;355;143;208;109;259;167;293;41;317;166;226;257;294;296,L_7PL;R_PFt;L_pOFC;R_PHA1;L_a47r;R_10d;L_24dv;R_IPS1;L_PEF;R_p32;R_MI;L_MST;L_PFt,L_5mv;R_Pir;L_13l;R_7PL;L_OP1;R_STSva;L_IP2;R_7Pm;L_Pir;R_IFJp;L_Ig;R_FOP3;L_7AL;R_PH;L_PoI1;R_7PC;R_6r;R_FOP2;R_AIP,1.001809919677806
26,semantic_first,143;291;125;359;21;190;107;278;58;332;207;11;3,83;241;16;342;27;245;108;300;55;218;105;357;50;233;49;252;257;181;263,L_IP2;R_AAIC;L_PHA1;R_p24;L_PIT;R_PEF;L_FOP4;R_43;L_a24pr;R_VMV1;R_STV;L_55b;L_V2,L_46;R_d32;L_IPS1;R_VVC;L_STV;R_47m;L_MI;R_ProS;L_6v;R_5L;L_PoI2;R_PI;L_1;R_6d;L_MIP;R_8C;R_6r;R_MST;R_46,0.9648798815908423
27,episodic_first,136;189;17;359;153;200;107;321;92;339;204;22;16,38;316;112;269;143;331;139;306;140;300;94;319;156;234;128;233;207;199;235,L_PHT;R_FEF;L_FFC;R_p24;L_VMV3;R_LO2;L_FOP4;R_DVT;L_OFC;R_VMV2;R_PSL;L_MT;L_IPS1,L_5L;R_PHT;L_FOP1;R_10pp;L_IP2;R_V6A;L_TPOJ2;R_PHA3;L_TPOJ3;R_ProS;L_LIPd;R_TPOJ2;L_FST;R_6mp;L_STSdp;R_6d;R_STV;R_LO1;R_6v,0.9837970962913114
28,semantic_first,59;275;63;338;121;201;11;239;165;301;288;72;177,128;192;76;319;175;306;48;332;151;296;28;227;14;252;30;323;266;336;253,L_p32pr;R_6a;L_p32;R_LO3;L_PeEc;R_PIT;L_55b;R_p32pr;L_pOFC;R_PeEc;R_MI;L_8C;L_PI,L_STSdp;R_V3A;L_a47r;R_TPOJ2;L_STSva;R_PHA3;L_VIP;R_VMV1;L_V6A;R_AIP;L_7Pm;R_LIPv;L_POS2;R_8C;L_POS1;R_IP2;R_9a;R_FST;R_44,0.9346473818175106
29,episodic_first,77;256;22;245;91;349;40;229;19;344;278;0;141,166;316;101;326;38;347;55;357;139;228;49;207;14;252;44;328;293;254;188,L_6r;R_a47r;L_MT;R_47m;L_13l;R_p10p;L_24dv;R_MIP;L_LO1;R_s32;R_43;L_V1;L_DVT,L_PoI1;R_PHT;L_OP2-3;R_PFop;L_5L;R_Ig;L_6v;R_PI;L_TPOJ2;R_VIP;L_MIP;R_STV;L_POS2;R_8C;L_7Am;R_PFm;R_FOP3;R_45;R_3b,0.9326230708395578
30,semantic_first,40;261;178;350;118;268;88;223;10;332;274;81;114,2;349;115;319;18;218;97;198;94;221;15;355;38;234;49;205;296;320;232,L_24dv;R_IFSa;L_a32pr;R_p47r;L_PreS;R_a10p;L_a10p;R_6ma;L_PEF;R_VMV1;R_LIPd;L_IFSa;L_FOP2,L_V6;R_p10p;L_PFt;R_TPOJ2;L_V3B;R_5L;L_s6-8;R_V3B;L_LIPd;R_7AL;L_V7;R_STSva;L_5L;R_6mp;L_MIP;R_SFL;R_AIP;R_TPOJ3;R_3a,1.023598194853648
31,episodic_first,83;196;1;238;88;339;72;229;155;298;184;168;116,108;182;112;259;101;320;167;357;17;225;55;325;50;208;66;217;250;255;260,L_46;R_IPS1;L_MST;R_a24pr;L_a10p;R_VMV2;L_8C;R_MIP;L_V4t;R_PreS;R_V3;L_FOP5;L_AIP,L_MI;R_V6;L_FOP1;R_IFJp;L_OP2-3;R_TPOJ3;L_Ig;R_PI;L_FFC;R_7PL;L_6v;R_IP0;L_1;R_7Pm;L_8Av;R_23c;R_9p;R_47l;R_IFSp,0.9506721751665939
32,semantic_first,107;260;58;268;91;198;111;196;21;334;325;96;156,144;358;116;269;27;271;157;326;97;319;151;225;104;229;148;296;233;199;221,L_FOP4;R_IFSp;L_a24pr;R_a10p;L_13l;R_V3B;L_AAIC;R_IPS1;L_PIT;R_PHA2;R_IP0;L_i6-8;L_FST,L_IP1;R_a32pr;L_AIP;R_10pp;L_STV;R_13l;L_V3CD;R_PFop;L_s6-8;R_TPOJ2;L_V6A;R_7PL;L_PFcm;R_MIP;L_PFm;R_AIP;R_6d;R_LO1;R_7AL,0.926734631782479
33,episodic_first,45;225;165;197;159;337;57;227;164;333;293;16;156,166;281;107;260;113;218;2;342;145;296;140;274;36;224;46;285;317;181;217,L_7PL;R_7PL;L_pOFC;R_FFC;L_VMV2;R_V3CD;L_33pr;R_LIPv;L_s32;R_VMV3;R_FOP3;L_IPS1;L_FST,L_PoI1;R_OP2-3;L_FOP4;R_IFSp;L_FOP3;R_5L;L_V6;R_VVC;L_IP0;R_AIP;L_TPOJ3;R_LIPd;L_5mv;R_7Am;L_7PC;R_PoI2;R_PH;R_MST;R_23c,0.9413385918790311
34,semantic_first,39;237;179;200;65;273;69;196;19;251;215;22;112,129;293;78;300;79;320;175;228;146;218;128;195;41;295;166;224;266;289;232,L_24dd;R_33pr;L_p24;R_LO2;L_47m;R_47s;L_8BL;R_IPS1;L_LO1;R_10d;R_5m;L_MT;L_FOP1,L_STSvp;R_FOP3;L_IFJa;R_ProS;L_IFJp;R_TPOJ3;L_STSva;R_VIP;L_PFop;R_5L;L_STSdp;R_V7;L_7AL;R_PFt;L_PoI1;R_7Am;R_9a;R_Pir;R_3a,0.9004604030171587
35,episodic_first,70;317;111;359;164;339;72;355;65;302;196;92;24,138;349;115;295;94;225;145;208;79;195;151;185;36;275;46;232;288;241;188,L_9p;R_PH;L_AAIC;R_p24;L_s32;R_VMV2;L_8C;R_STSva;L_47m;R_STGa;R_IPS1;L_OFC;L_PSL,L_TPOJ1;R_p10p;L_PFt;R_PFt;L_LIPd;R_7PL;L_IP0;R_7Pm;L_IFJp;R_V7;L_V6A;R_V4;L_5mv;R_6a;L_7PC;R_3a;R_MI;R_d32;R_3b,0.9248386824108998
36,semantic_first,39;222;159;197;58;273;57;293;65;236;207;116;74,38;281;4;185;108;319;157;344;151;309;138;215;48;227;128;217;235;249;221,L_24dd;R_SCEF;L_VMV2;R_FFC;L_a24pr;R_47s;L_33pr;R_FOP3;L_47m;R_p24pr;R_STV;L_AIP;L_45,L_5L;R_OP2-3;L_V3;R_V4;L_MI;R_TPOJ2;L_V3CD;R_s32;L_V6A;R_STSvp;L_TPOJ1;R_5m;L_VIP;R_LIPv;L_STSdp;R_23c;R_6v;R_8BL;R_7AL,1.00845280553551
37,episodic_first,52;263;89;220;93;268;116;266;91;236;274;75;141,37;200;156;261;169;251;151;250;179;185;146;331;3;233;144;218;288;239;188,L_3a;R_46;L_10pp;R_24dv;L_47s;R_a10p;L_AIP;R_9a;L_13l;R_p24pr;R_LIPd;L_47l;L_DVT,L_23c;R_LO2;L_FST;R_IFSa;L_p10p;R_10d;L_V6A;R_9p;L_p24;R_V4;L_PFop;R_V6A;L_V2;R_6d;L_IP1;R_5L;R_MI;R_p32pr;R_3b,0.9613160392525346
38,semantic_first,39;237;178;271;71;197;84;189;159;238;331;61;76,28;254;4;250;38;326;146;332;108;228;15;325;8;188;147;232;208;336;252,L_24dd;R_33pr;L_a32pr;R_13l;L_10d;R_FFC;L_a9-46v;R_FEF;L_VMV2;R_a24pr;R_V6A;L_d32;L_a47r,L_7Pm;R_45;L_V3;R_9p;L_5L;R_PFop;L_PFop;R_VMV1;L_MI;R_VIP;L_V7;R_IP0;L_3b;R_3b;L_PF;R_3a;R_7Pm;R_FST;R_8C,0.8484658156878544
39,episodic_first,72;225;158;359;19;264;84;278;88;243;227;75;156,138;294;98;309;175;250;59;221;146;235;105;251;104;208;46;319;188;358;252,L_8C;R_7PL;L_LO3;R_p24;L_LO1;R_a9-46v;L_a9-46v;R_43;L_a10p;R_p32;R_LIPv;L_47l;L_FST,L_TPOJ1;R_FOP2;L_43;R_STSvp;L_STSva;R_9p;L_p32pr;R_7AL;L_PFop;R_6v;L_PoI2;R_10d;L_PFcm;R_7Pm;L_7PC;R_TPOJ2;R_3b;R_a32pr;R_8C,0.9198424118187118
40,semantic_first,166;317;158;220;81;272;111;196;71;271;215;22;74,128;192;112;309;47;195;48;185;139;319;94;218;53;346;36;328;229;320;275,L_PoI1;R_PH;L_LO3;R_24dv;L_IFSa;R_OFC;L_AAIC;R_IPS1;L_10d;R_13l;R_5m;L_MT;L_45,L_STSdp;R_V3A;L_FOP1;R_STSvp;L_LIPv;R_V7;L_VIP;R_V4;L_TPOJ2;R_TPOJ2;L_LIPd;R_5L;L_6d;R_PoI1;L_5mv;R_PFm;R_MIP;R_TPOJ3;R_6a,0.9447958572625483
41,episodic_first,80;222;151;359;89;274;52;205;154;332;271;118;16,9;287;101;221;79;325;38;331;109;357;146;326;25;232;46;224;278;292;296,L_IFSp;R_SCEF;L_V6A;R_p24;L_10pp;R_LIPd;L_3a;R_SFL;L_PHA2;R_VMV1;R_13l;L_PreS;L_IPS1,L_FEF;R_FOP4;L_OP2-3;R_7AL;L_IFJp;R_IP0;L_5L;R_V6A;L_Pir;R_PI;L_PFop;R_PFop;L_SFL;R_3a;L_7PC;R_7Am;R_43;R_FOP1;R_AIP,0.9374858083551362
42,semantic_first,43;185;125;348;121;200;67;250;93;298;355;20;38,28;280;78;269;101;218;94;198;113;326;139;208;30;229;14;205;233;219;308,L_6ma;R_V4;L_PHA1;R_FOP5;L_PeEc;R_LO2;L_8Ad;R_9p;L_47s;R_PreS;R_STSva;L_LO2;L_5L,L_7Pm;R_OP1;L_IFJa;R_10pp;L_OP2-3;R_5L;L_LIPd;R_V3B;L_FOP3;R_PFop;L_TPOJ2;R_7Pm;L_POS1;R_MIP;L_POS2;R_SFL;R_6d;R_24dd;R_STSdp,0.9961714819598607
43,episodic_first,70;309;151;272;6;273;88;250;19;344;196;92;47,144;202;78;185;167;339;48;207;145;291;146;288;44;229;128;187;278;258;321,L_9p;R_STSvp;L_V6A;R_OFC;L_V8;R_47s;L_a10p;R_9p;L_LO1;R_s32;R_IPS1;L_OFC;L_LIPv,L_IP1;R_MT;L_IFJa;R_V4;L_Ig;R_VMV2;L_VIP;R_STV;L_IP0;R_AAIC;L_PFop;R_MI;L_7Am;R_MIP;L_STSdp;R_4;R_43;R_IFJa;R_DVT,0.9544051986966929
44,semantic_first,107;227;15;350;121;198;76;189;20;334;196;84;104,37;280;5;221;108;339;113;357;55;309;105;185;50;217;66;228;321;202;253,L_FOP4;R_LIPv;L_V7;R_p47r;L_PeEc;R_V3B;L_a47r;R_FEF;L_LO2;R_PHA2;R_IPS1;L_a9-46v;L_PFcm,L_23c;R_OP1;L_V4;R_7AL;L_MI;R_VMV2;L_FOP3;R_PI;L_6v;R_STSvp;L_PoI2;R_V4;L_1;R_23c;L_8Av;R_VIP;R_DVT;R_MT;R_44,0.8685196366785293
45,episodic_first,96;263;125;298;84;241;141;196;121;359;207;93;3,27;219;115;326;139;286;49;323;15;251;140;198;48;357;144;285;296;239;288,L_i6-8;R_46;L_PHA1;R_PreS;L_a9-46v;R_d32;L_DVT;R_IPS1;L_PeEc;R_p24;R_STV;L_47s;L_V2,L_STV;R_24dd;L_PFt;R_PFop;L_TPOJ2;R_TA2;L_MIP;R_IP2;L_V7;R_10d;L_TPOJ3;R_V3B;L_VIP;R_PI;L_IP1;R_PoI2;R_AIP;R_p32pr;R_MI,0.9590261516281798
46,semantic_first,86;260;91;336;93;245;116;288;35;334;251;96;3,128;287;98;326;139;325;157;300;27;227;109;317;104;285;74;319;230;289;188,L_9a;R_IFSp;L_13l;R_FST;L_47s;R_47m;L_AIP;R_MI;L_5m;R_PHA2;R_10d;L_i6-8;L_V2,L_STSdp;R_FOP4;L_43;R_PFop;L_TPOJ2;R_IP0;L_V3CD;R_ProS;L_STV;R_LIPv;L_Pir;R_PH;L_PFcm;R_PoI2;L_45;R_TPOJ2;R_1;R_Pir;R_3b,0.9570746697538608
47,episodic_first,47;266;58;251;22;271;111;256;6;344;254;69;114,105;336;4;225;24;339;157;295;140;218;79;278;25;327;9;285;196;249;346,L_LIPv;R_9a;L_a24pr;R_10d;L_MT;R_13l;L_AAIC;R_a47r;L_V8;R_s32;R_45;L_8BL;L_FOP2,L_PoI2;R_FST;L_V3;R_7PL;L_PSL;R_VMV2;L_V3CD;R_PFt;L_TPOJ3;R_5L;L_IFJp;R_43;L_SFL;R_PF;L_FEF;R_PoI2;R_IPS1;R_8BL;R_PoI1,0.9295655179255407
48,semantic_first,52;250;169;186;20;271;57;227;63;339;273;91;5,49;347;101;323;27;238;79;342;179;266;94;317;47;229;77;234;233;202;321,L_3a;R_9p;L_p10p;R_V8;L_LO2;R_13l;L_33pr;R_LIPv;L_p32;R_VMV2;R_47s;L_13l;L_V4,L_MIP;R_Ig;L_OP2-3;R_IP2;L_STV;R_a24pr;L_IFJp;R_VVC;L_p24;R_9a;L_LIPd;R_PH;L_LIPv;R_MIP;L_6r;R_6mp;R_6d;R_MT;R_DVT,0.9571818218170531
49,episodic_first,128;259;109;255;91;348;3;278;61;298;325;88;177,28;279;104;295;146;269;94;251;86;217;138;320;50;221;166;252;208;358;234,L_STSdp;R_IFJp;L_Pir;R_47l;L_13l;R_FOP5;L_V2;R_43;L_d32;R_PreS;R_IP0;L_a10p;L_PI,L_7Pm;R_OP4;L_PFcm;R_PFt;L_PFop;R_10pp;L_LIPd;R_10d;L_9a;R_23c;L_TPOJ1;R_TPOJ3;L_1;R_7AL;L_PoI1;R_8C;R_7Pm;R_a32pr;R_6mp,1.0214316816999465
50,semantic_first,83;256;157;241;164;332;88;257;154;274;320;19;101,2;280;177;195;115;273;15;331;18;251;80;250;54;323;77;208;230;201;189,L_46;R_a47r;L_V3CD;R_d32;L_s32;R_VMV1;L_a10p;R_6r;L_PHA2;R_LIPd;R_TPOJ3;L_LO1;L_OP2-3,L_V6;R_OP1;L_PI;R_V7;L_PFt;R_47s;L_V7;R_V6A;L_V3B;R_10d;L_IFSp;R_9p;L_6mp;R_IP2;L_6r;R_7Pm;R_1;R_PIT;R_FEF,0.9949468505365087
