network,analysis_role,evidence_component,label,hemisphere,zero_based_index,interpretation,surrogate_amyloid,baseline_b,high_b,b_reduction
semantic_expanded,primary,union,L_25,L,163,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.01867252131974,0.07,0.04549244449453978,0.02450755550546023
semantic_expanded,primary,union,R_25,R,343,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,1.77084683058159,0.07,0.061478547382466456,0.008521452617533551
semantic_expanded,primary,union,R_TE1a,R,311,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.0114677270649,0.07,0.046052680686274744,0.023947319313725263
semantic_expanded,primary,union,L_TF,L,134,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.64160083577811,0.07,0.021052562410782297,0.04894743758921771
semantic_expanded,primary,union,L_STSda,L,127,Primary expanded musical-semantic-associated proxy: bilateral medial-prefrontal/anterior-cingulate core plus Platel musical-task peaks.,2.18237040097714,0.07,0.03364526667163462,0.036354733328365384
episodic_expanded,primary,union,L_31pd,L,160,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.55625903326002,0.07,0.0674384218980167,0.0025615781019833056
episodic_expanded,primary,union,R_31pd,R,340,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,3.63823856036248,0.07,0.02000216894220325,0.04999783105779676
episodic_expanded,primary,union,L_31pv,L,34,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,2.10910536116736,0.07,0.03859917755482486,0.03140082244517515
episodic_expanded,primary,union,R_31pv,R,214,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.54044502200121,0.07,0.06766743833202908,0.0023325616679709255
episodic_expanded,primary,union,L_d23ab,L,33,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.87780861189806,0.07,0.055716909643161686,0.014283090356838321
episodic_expanded,primary,union,R_d23ab,R,213,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.94788634037659,0.07,0.05088951902161594,0.019110480978384067
episodic_expanded,primary,union,L_v23ab,L,32,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.76248036501235,0.07,0.061840533546848764,0.008159466453151243
episodic_expanded,primary,union,R_v23ab,R,212,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.52804916375814,0.07,0.06783320171712501,0.0021667982828749988
episodic_expanded,primary,union,L_23d,L,31,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.65389417441422,0.07,0.06548855598946599,0.0045114440105340214
episodic_expanded,primary,union,R_23d,R,211,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.57346786458134,0.07,0.06716510946297292,0.002834890537027082
episodic_expanded,primary,union,L_31a,L,161,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.32445919404972,0.07,0.06937051478079687,0.0006294852192031408
episodic_expanded,primary,union,R_31a,R,341,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.90518962675013,0.07,0.05391585617896531,0.016084143821034694
episodic_expanded,primary,union,L_PCV,L,26,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.97470549380383,0.07,0.04888305739006289,0.021116942609937114
episodic_expanded,primary,union,R_PCV,R,206,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.77063133380768,0.07,0.06148802913497331,0.008511970865026697
episodic_expanded,primary,union,L_7m,L,29,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.84557734982185,0.07,0.05767390517756173,0.01232609482243828
episodic_expanded,primary,union,R_7m,R,209,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.48735921069121,0.07,0.06830170514017346,0.0016982948598265463
episodic_expanded,primary,union,R_IP1,R,324,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.91081135101688,0.07,0.05353157612704994,0.01646842387295007
episodic_expanded,primary,union,R_11l,R,270,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,2.52079984996847,0.07,0.02218170365170017,0.04781829634829984
episodic_expanded,primary,union,R_8Av,R,246,Primary expanded musical-episodic-associated proxy: bilateral posterior-cingulate/precuneus core plus Platel musical-task peaks.,1.8265138194585,0.07,0.058742966306084374,0.011257033693915633
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_9m,L,68,Bilateral medial-prefrontal/anterior-cingulate core.,1.82739813222784,0.07,0.05869486219408891,0.011305137805911095
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_9m,R,248,Bilateral medial-prefrontal/anterior-cingulate core.,1.80756932743866,0.07,0.05973850248474727,0.010261497515252738
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_10r,L,64,Bilateral medial-prefrontal/anterior-cingulate core.,1.82049541099342,0.07,0.05906648569219959,0.010933514307800415
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_10r,R,244,Bilateral medial-prefrontal/anterior-cingulate core.,2.12971515257329,0.07,0.03712636263126799,0.032873637368732014
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_10v,L,87,Bilateral medial-prefrontal/anterior-cingulate core.,2.17808337913819,0.07,0.033911717037648254,0.03608828296235175
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_10v,R,267,Bilateral medial-prefrontal/anterior-cingulate core.,2.11068058027602,0.07,0.03848475015718225,0.031515249842817755
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_8BM,L,62,Bilateral medial-prefrontal/anterior-cingulate core.,1.9612752711703,0.07,0.049896029054942836,0.02010397094505717
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_8BM,R,242,Bilateral medial-prefrontal/anterior-cingulate core.,2.02209899267582,0.07,0.04522579784362893,0.024774202156371078
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_25,L,163,Bilateral medial-prefrontal/anterior-cingulate core.,2.01867252131974,0.07,0.04549244449453978,0.02450755550546023
semantic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_25,R,343,Bilateral medial-prefrontal/anterior-cingulate core.,1.77084683058159,0.07,0.061478547382466456,0.008521452617533551
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_31pd,L,160,Bilateral posterior-cingulate/medial-parietal core.,1.55625903326002,0.07,0.0674384218980167,0.0025615781019833056
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_31pd,R,340,Bilateral posterior-cingulate/medial-parietal core.,3.63823856036248,0.07,0.02000216894220325,0.04999783105779676
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_31pv,L,34,Bilateral posterior-cingulate/medial-parietal core.,2.10910536116736,0.07,0.03859917755482486,0.03140082244517515
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_31pv,R,214,Bilateral posterior-cingulate/medial-parietal core.,1.54044502200121,0.07,0.06766743833202908,0.0023325616679709255
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_d23ab,L,33,Bilateral posterior-cingulate/medial-parietal core.,1.87780861189806,0.07,0.055716909643161686,0.014283090356838321
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_d23ab,R,213,Bilateral posterior-cingulate/medial-parietal core.,1.94788634037659,0.07,0.05088951902161594,0.019110480978384067
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_v23ab,L,32,Bilateral posterior-cingulate/medial-parietal core.,1.76248036501235,0.07,0.061840533546848764,0.008159466453151243
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_v23ab,R,212,Bilateral posterior-cingulate/medial-parietal core.,1.52804916375814,0.07,0.06783320171712501,0.0021667982828749988
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_23d,L,31,Bilateral posterior-cingulate/medial-parietal core.,1.65389417441422,0.07,0.06548855598946599,0.0045114440105340214
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_23d,R,211,Bilateral posterior-cingulate/medial-parietal core.,1.57346786458134,0.07,0.06716510946297292,0.002834890537027082
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_31a,L,161,Bilateral posterior-cingulate/medial-parietal core.,1.32445919404972,0.07,0.06937051478079687,0.0006294852192031408
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_31a,R,341,Bilateral posterior-cingulate/medial-parietal core.,1.90518962675013,0.07,0.05391585617896531,0.016084143821034694
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_PCV,L,26,Bilateral posterior-cingulate/medial-parietal core.,1.97470549380383,0.07,0.04888305739006289,0.021116942609937114
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_PCV,R,206,Bilateral posterior-cingulate/medial-parietal core.,1.77063133380768,0.07,0.06148802913497331,0.008511970865026697
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,L_7m,L,29,Bilateral posterior-cingulate/medial-parietal core.,1.84557734982185,0.07,0.05767390517756173,0.01232609482243828
episodic_anatomical_core,definition_sensitivity,revised_anatomical_core,R_7m,R,209,Bilateral posterior-cingulate/medial-parietal core.,1.48735921069121,0.07,0.06830170514017346,0.0016982948598265463
semantic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_9m,R,248,HCP-MMP parcels mapped from Platel semantic-greater-than-episodic musical-memory cortical peaks.,1.80756932743866,0.07,0.05973850248474727,0.010261497515252738
semantic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,L_25,L,163,HCP-MMP parcels mapped from Platel semantic-greater-than-episodic musical-memory cortical peaks.,2.01867252131974,0.07,0.04549244449453978,0.02450755550546023
semantic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_TE1a,R,311,HCP-MMP parcels mapped from Platel semantic-greater-than-episodic musical-memory cortical peaks.,2.0114677270649,0.07,0.046052680686274744,0.023947319313725263
semantic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,L_TF,L,134,HCP-MMP parcels mapped from Platel semantic-greater-than-episodic musical-memory cortical peaks.,2.64160083577811,0.07,0.021052562410782297,0.04894743758921771
semantic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,L_STSda,L,127,HCP-MMP parcels mapped from Platel semantic-greater-than-episodic musical-memory cortical peaks.,2.18237040097714,0.07,0.03364526667163462,0.036354733328365384
episodic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_IP1,R,324,HCP-MMP parcels mapped from Platel episodic-greater-than-semantic musical-memory cortical peaks.,1.91081135101688,0.07,0.05353157612704994,0.01646842387295007
episodic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_PCV,R,206,HCP-MMP parcels mapped from Platel episodic-greater-than-semantic musical-memory cortical peaks.,1.77063133380768,0.07,0.06148802913497331,0.008511970865026697
episodic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_11l,R,270,HCP-MMP parcels mapped from Platel episodic-greater-than-semantic musical-memory cortical peaks.,2.52079984996847,0.07,0.02218170365170017,0.04781829634829984
episodic_platel_peaks,definition_sensitivity,platel_2003_direct_contrast,R_8Av,R,246,HCP-MMP parcels mapped from Platel episodic-greater-than-semantic musical-memory cortical peaks.,1.8265138194585,0.07,0.058742966306084374,0.011257033693915633
semantic_expanded_left,laterality_sensitivity,union_left,L_9m,L,68,Left-hemisphere portion of semantic_expanded.,1.82739813222784,0.07,0.05869486219408891,0.011305137805911095
semantic_expanded_left,laterality_sensitivity,union_left,L_10r,L,64,Left-hemisphere portion of semantic_expanded.,1.82049541099342,0.07,0.05906648569219959,0.010933514307800415
semantic_expanded_left,laterality_sensitivity,union_left,L_10v,L,87,Left-hemisphere portion of semantic_expanded.,2.17808337913819,0.07,0.033911717037648254,0.03608828296235175
semantic_expanded_left,laterality_sensitivity,union_left,L_8BM,L,62,Left-hemisphere portion of semantic_expanded.,1.9612752711703,0.07,0.049896029054942836,0.02010397094505717
semantic_expanded_left,laterality_sensitivity,union_left,L_25,L,163,Left-hemisphere portion of semantic_expanded.,2.01867252131974,0.07,0.04549244449453978,0.02450755550546023
semantic_expanded_left,laterality_sensitivity,union_left,L_TF,L,134,Left-hemisphere portion of semantic_expanded.,2.64160083577811,0.07,0.021052562410782297,0.04894743758921771
semantic_expanded_left,laterality_sensitivity,union_left,L_STSda,L,127,Left-hemisphere portion of semantic_expanded.,2.18237040097714,0.07,0.03364526667163462,0.036354733328365384
episodic_expanded_left,laterality_sensitivity,union_left,L_31pd,L,160,Left-hemisphere portion of episodic_expanded.,1.55625903326002,0.07,0.0674384218980167,0.0025615781019833056
episodic_expanded_left,laterality_sensitivity,union_left,L_31pv,L,34,Left-hemisphere portion of episodic_expanded.,2.10910536116736,0.07,0.03859917755482486,0.03140082244517515
episodic_expanded_left,laterality_sensitivity,union_left,L_d23ab,L,33,Left-hemisphere portion of episodic_expanded.,1.87780861189806,0.07,0.055716909643161686,0.014283090356838321
episodic_expanded_left,laterality_sensitivity,union_left,L_v23ab,L,32,Left-hemisphere portion of episodic_expanded.,1.76248036501235,0.07,0.061840533546848764,0.008159466453151243
episodic_expanded_left,laterality_sensitivity,union_left,L_23d,L,31,Left-hemisphere portion of episodic_expanded.,1.65389417441422,0.07,0.06548855598946599,0.0045114440105340214
episodic_expanded_left,laterality_sensitivity,union_left,L_31a,L,161,Left-hemisphere portion of episodic_expanded.,1.32445919404972,0.07,0.06937051478079687,0.0006294852192031408
episodic_expanded_left,laterality_sensitivity,union_left,L_PCV,L,26,Left-hemisphere portion of episodic_expanded.,1.97470549380383,0.07,0.04888305739006289,0.021116942609937114
episodic_expanded_left,laterality_sensitivity,union_left,L_7m,L,29,Left-hemisphere portion of episodic_expanded.,1.84557734982185,0.07,0.05767390517756173,0.01232609482243828
semantic_expanded_right,laterality_sensitivity,union_right,R_9m,R,248,Right-hemisphere portion of semantic_expanded.,1.80756932743866,0.07,0.05973850248474727,0.010261497515252738
semantic_expanded_right,laterality_sensitivity,union_right,R_10r,R,244,Right-hemisphere portion of semantic_expanded.,2.12971515257329,0.07,0.03712636263126799,0.032873637368732014
semantic_expanded_right,laterality_sensitivity,union_right,R_10v,R,267,Right-hemisphere portion of semantic_expanded.,2.11068058027602,0.07,0.03848475015718225,0.031515249842817755
semantic_expanded_right,laterality_sensitivity,union_right,R_8BM,R,242,Right-hemisphere portion of semantic_expanded.,2.02209899267582,0.07,0.04522579784362893,0.024774202156371078
semantic_expanded_right,laterality_sensitivity,union_right,R_25,R,343,Right-hemisphere portion of semantic_expanded.,1.77084683058159,0.07,0.061478547382466456,0.008521452617533551
semantic_expanded_right,laterality_sensitivity,union_right,R_TE1a,R,311,Right-hemisphere portion of semantic_expanded.,2.0114677270649,0.07,0.046052680686274744,0.023947319313725263
episodic_expanded_right,laterality_sensitivity,union_right,R_31pd,R,340,Right-hemisphere portion of episodic_expanded.,3.63823856036248,0.07,0.02000216894220325,0.04999783105779676
episodic_expanded_right,laterality_sensitivity,union_right,R_31pv,R,214,Right-hemisphere portion of episodic_expanded.,1.54044502200121,0.07,0.06766743833202908,0.0023325616679709255
episodic_expanded_right,laterality_sensitivity,union_right,R_d23ab,R,213,Right-hemisphere portion of episodic_expanded.,1.94788634037659,0.07,0.05088951902161594,0.019110480978384067
episodic_expanded_right,laterality_sensitivity,union_right,R_v23ab,R,212,Right-hemisphere portion of episodic_expanded.,1.52804916375814,0.07,0.06783320171712501,0.0021667982828749988
episodic_expanded_right,laterality_sensitivity,union_right,R_23d,R,211,Right-hemisphere portion of episodic_expanded.,1.57346786458134,0.07,0.06716510946297292,0.002834890537027082
episodic_expanded_right,laterality_sensitivity,union_right,R_31a,R,341,Right-hemisphere portion of episodic_expanded.,1.90518962675013,0.07,0.05391585617896531,0.016084143821034694
episodic_expanded_right,laterality_sensitivity,union_right,R_PCV,R,206,Right-hemisphere portion of episodic_expanded.,1.77063133380768,0.07,0.06148802913497331,0.008511970865026697
episodic_expanded_right,laterality_sensitivity,union_right,R_7m,R,209,Right-hemisphere portion of episodic_expanded.,1.48735921069121,0.07,0.06830170514017346,0.0016982948598265463
episodic_expanded_right,laterality_sensitivity,union_right,R_IP1,R,324,Right-hemisphere portion of episodic_expanded.,1.91081135101688,0.07,0.05353157612704994,0.01646842387295007
episodic_expanded_right,laterality_sensitivity,union_right,R_11l,R,270,Right-hemisphere portion of episodic_expanded.,2.52079984996847,0.07,0.02218170365170017,0.04781829634829984
episodic_expanded_right,laterality_sensitivity,union_right,R_8Av,R,246,Right-hemisphere portion of episodic_expanded.,1.8265138194585,0.07,0.058742966306084374,0.011257033693915633
shared_auditory_relay,diagnostic_only,auditory_relay,L_52,L,102,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",2.14328540294101,0.07,0.03618791998468565,0.033812080015314355
shared_auditory_relay,diagnostic_only,auditory_relay,R_52,R,282,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.56375588768837,0.07,0.06732256176020578,0.0026774382397942303
shared_auditory_relay,diagnostic_only,auditory_relay,L_MBelt,L,172,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.96404375994643,0.07,0.04968845940976169,0.02031154059023832
shared_auditory_relay,diagnostic_only,auditory_relay,R_MBelt,R,352,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.83297809542765,0.07,0.0583879797520889,0.011612020247911109
shared_auditory_relay,diagnostic_only,auditory_relay,L_LBelt,L,173,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.35105577521249,0.07,0.06925881379043618,0.0007411862095638294
shared_auditory_relay,diagnostic_only,auditory_relay,R_LBelt,R,353,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.64902939953388,0.07,0.06561135439045994,0.004388645609540068
shared_auditory_relay,diagnostic_only,auditory_relay,L_RI,L,103,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",2.02345406650601,0.07,0.04512032897781541,0.024879671022184593
shared_auditory_relay,diagnostic_only,auditory_relay,R_RI,R,283,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",2.87449635515681,0.07,0.020250888453251983,0.04974911154674802
shared_auditory_relay,diagnostic_only,auditory_relay,L_PBelt,L,123,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.57482377611517,0.07,0.0671424464724025,0.002857553527597506
shared_auditory_relay,diagnostic_only,auditory_relay,R_PBelt,R,303,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.63396630845176,0.07,0.06597262966996732,0.004027370330032684
shared_auditory_relay,diagnostic_only,auditory_relay,L_A4,L,174,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.34341663842286,0.07,0.06929275826795984,0.0007072417320401619
shared_auditory_relay,diagnostic_only,auditory_relay,R_A4,R,354,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.34183738233749,0.07,0.069299582169969,0.000700417830031011
shared_auditory_relay,diagnostic_only,auditory_relay,L_A5,L,124,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.78925484058465,0.07,0.06063738995096801,0.009362610049031994
shared_auditory_relay,diagnostic_only,auditory_relay,R_A5,R,304,"Shared belt, parabelt, retroinsular, and auditory-association context; not part of either primary target average.",1.51232866198621,0.07,0.06802728695341227,0.0019727130465877346
anterior_temporal_context,diagnostic_only,semantic_context,L_TGd,L,130,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.10791187688547,0.07,0.038686066715213324,0.03131393328478668
anterior_temporal_context,diagnostic_only,semantic_context,R_TGd,R,310,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",1.30891990512105,0.07,0.06942790653636165,0.0005720934636383596
anterior_temporal_context,diagnostic_only,semantic_context,L_TGv,L,171,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.17666004918543,0.07,0.034000884600674124,0.03599911539932588
anterior_temporal_context,diagnostic_only,semantic_context,R_TGv,R,351,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",3.17428588791779,0.07,0.020038958468803162,0.04996104153119685
anterior_temporal_context,diagnostic_only,semantic_context,L_TE1a,L,131,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.01533649428013,0.07,0.045751945675411576,0.02424805432458843
anterior_temporal_context,diagnostic_only,semantic_context,R_TE1a,R,311,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.0114677270649,0.07,0.046052680686274744,0.023947319313725263
anterior_temporal_context,diagnostic_only,semantic_context,L_TE1m,L,176,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",1.81728982901135,0.07,0.05923604726346933,0.010763952736530677
anterior_temporal_context,diagnostic_only,semantic_context,R_TE1m,R,356,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.01736162873406,0.07,0.045594431306620456,0.02440556869337955
anterior_temporal_context,diagnostic_only,semantic_context,L_TE1p,L,132,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.00822961413845,0.07,0.04630416160428301,0.023695838395716998
anterior_temporal_context,diagnostic_only,semantic_context,R_TE1p,R,312,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",1.97345155706522,0.07,0.04897824646570542,0.021021753534294585
anterior_temporal_context,diagnostic_only,semantic_context,L_TE2a,L,133,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.00694833543986,0.07,0.046403599112938655,0.02359640088706135
anterior_temporal_context,diagnostic_only,semantic_context,R_TE2a,R,313,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",3.18591370050873,0.07,0.02003623933852778,0.04996376066147223
anterior_temporal_context,diagnostic_only,semantic_context,L_TE2p,L,135,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.12741972766305,0.07,0.03728766842040683,0.032712331579593176
anterior_temporal_context,diagnostic_only,semantic_context,R_TE2p,R,315,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.04529928143974,0.07,0.043422077258707184,0.026577922741292823
anterior_temporal_context,diagnostic_only,semantic_context,L_TF,L,134,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.64160083577811,0.07,0.021052562410782297,0.04894743758921771
anterior_temporal_context,diagnostic_only,semantic_context,R_TF,R,314,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.74902851778724,0.07,0.020544768489389933,0.04945523151061007
anterior_temporal_context,diagnostic_only,semantic_context,L_STSda,L,127,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",2.18237040097714,0.07,0.03364526667163462,0.036354733328365384
anterior_temporal_context,diagnostic_only,semantic_context,R_STSda,R,307,"Anterior/lateral temporal conceptual context, saved separately to avoid arbitrarily broadening the primary proxy.",1.63705118490396,0.07,0.06590092269056047,0.004099077309439536
hippocampal_context,diagnostic_only,memory_context,Left-Hippocampus,L,365,Bilateral hippocampal context. The Jansen-Rit simulation does not implement encoding or recollection.,1.45495932183165,0.07,0.06860331940493532,0.0013966805950646893
hippocampal_context,diagnostic_only,memory_context,Right-Hippocampus,R,374,Bilateral hippocampal context. The Jansen-Rit simulation does not implement encoding or recollection.,1.87392809507145,0.07,0.0559621680347709,0.014037831965229106
angular_parietal_context,diagnostic_only,memory_context,L_PGi,L,149,"Angular/inferior-parietal context, reported separately.",1.2010255451561,0.07,0.06970615067180994,0.00029384932819007115
angular_parietal_context,diagnostic_only,memory_context,R_PGi,R,329,"Angular/inferior-parietal context, reported separately.",2.24529872715693,0.07,0.030116613439276352,0.039883386560723655
angular_parietal_context,diagnostic_only,memory_context,L_PGs,L,150,"Angular/inferior-parietal context, reported separately.",1.19025997077004,0.07,0.06972509873788071,0.00027490126211929256
angular_parietal_context,diagnostic_only,memory_context,R_PGs,R,330,"Angular/inferior-parietal context, reported separately.",1.96118550992715,0.07,0.0499027474136897,0.02009725258631031
angular_parietal_context,diagnostic_only,memory_context,L_PGp,L,142,"Angular/inferior-parietal context, reported separately.",1.63611259135078,0.07,0.0659228621980417,0.0040771378019583
angular_parietal_context,diagnostic_only,memory_context,R_PGp,R,322,"Angular/inferior-parietal context, reported separately.",1.40400294020472,0.07,0.06897527805612486,0.001024721943875151
